Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000   10.181    2.545 dataset_io.py:62(save_subset_results)
        2    0.003    0.001    0.013    0.007 dataset_utils.py:66(count_existing_images)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        4    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
       12    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
    23997    0.039    0.000    0.039    0.000 encoder.py:224(floatstr)
       12    0.000    0.000    0.000    0.000 encoder.py:260(_make_iterencode)
13866374/11048010    4.894    0.000   12.637    0.000 encoder.py:278(_iterencode_list)
21184154/11048066    7.629    0.000   14.506    0.000 encoder.py:334(_iterencode_dict)
 11048078    2.806    0.000   17.936    0.000 encoder.py:414(_iterencode)
        2    0.000    0.000    0.000    0.000 functools.py:391(__get__)
      121    0.000    0.000    0.717    0.006 popen_spawn_win32.py:103(wait)
      107    0.000    0.000    0.001    0.000 popen_spawn_win32.py:121(poll)
       14    0.000    0.000    0.000    0.000 popen_spawn_win32.py:29(_close_handles)
     14/2    0.000    0.000    0.016    0.008 popen_spawn_win32.py:45(__init__)
       70    0.000    0.000    0.000    0.000 popen_spawn_win32.py:70(<genexpr>)
       42    0.000    0.000    0.000    0.000 popen_spawn_win32.py:99(duplicate_for_child)
     14/2    0.000    0.000    0.016    0.008 process.py:110(start)
       14    0.000    0.000    0.716    0.051 process.py:142(join)
       50    0.000    0.000    0.000    0.000 process.py:147(__init__)
       28    0.000    0.000    0.000    0.000 process.py:153(is_alive)
       50    0.000    0.000    0.000    0.000 process.py:161(__init__)
      2/1    0.000    0.000    0.000    0.000 process.py:170(__init__)
       14    0.000    0.000    0.000    0.000 process.py:189(name)
       14    0.000    0.000    0.000    0.000 process.py:213(authkey)
       14    0.000    0.000    0.000    0.000 process.py:234(ident)
      506    0.000    0.000    0.001    0.000 process.py:247(sentinel)
        2    0.000    0.000    0.000    0.000 process.py:293(__init__)
      2/1    0.000    0.000  456.512  456.512 process.py:340(run)
       28    0.000    0.000    0.000    0.000 process.py:350(__reduce__)
       34    0.000    0.000    0.000    0.000 process.py:37(current_process)
    82/81    0.001    0.000    0.003    0.000 process.py:392(add_call_item_to_queue)
    80/28    0.022    0.000  450.041   16.073 process.py:415(wait_result_broken_or_wakeup)
       50    0.000    0.000    0.004    0.000 process.py:450(process_result_item)
       80    0.000    0.000    0.000    0.000 process.py:473(is_shutting_down)
        2    0.000    0.000    0.000    0.000 process.py:534(flag_executor_shutting_down)
        2    0.000    0.000    0.000    0.000 process.py:560(shutdown_workers)
        2    0.000    0.000  678.949  339.474 process.py:574(join_executor_internals)
        2    0.000    0.000  678.949  339.474 process.py:578(_join_executor_internals)
        4    0.000    0.000    0.000    0.000 process.py:595(get_n_children_alive)
       32    0.000    0.000    0.000    0.000 process.py:597(<genexpr>)
        2    0.000    0.000    0.000    0.000 process.py:604(_check_system_limits)
       14    0.000    0.000    0.001    0.000 process.py:61(_cleanup)
      2/1    0.000    0.000    0.000    0.000 process.py:656(__init__)
      2/1    0.000    0.000    0.001    0.001 process.py:69(__init__)
        2    0.000    0.000    0.000    0.000 process.py:73(close)
    50/49    0.000    0.000    0.000    0.000 process.py:766(_start_executor_manager_thread)
    50/35    0.000    0.000    0.030    0.001 process.py:776(_adjust_process_count)
     14/2    0.000    0.000    0.016    0.008 process.py:799(_spawn_process)
       14    0.000    0.000    0.000    0.000 process.py:80(__init__)
    50/34    0.001    0.000    0.135    0.004 process.py:810(submit)
       52    0.001    0.000    0.004    0.000 process.py:84(wakeup)
        2    0.000    0.000  678.951  339.476 process.py:864(shutdown)
    80/79    0.000    0.000    0.192    0.002 process.py:88(clear)
       28    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
      576    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
      100    0.001    0.000    0.002    0.000 queue.py:122(put)
  542/461    0.028    0.000  846.073    1.835 queue.py:154(get)
        3    0.000    0.000    0.000    0.000 queue.py:206(_init)
      984    0.002    0.000    0.004    0.000 queue.py:209(_qsize)
      100    0.000    0.000    0.000    0.000 queue.py:213(_put)
      100    0.000    0.000    0.000    0.000 queue.py:217(_get)
        3    0.000    0.000    0.000    0.000 queue.py:34(__init__)
        1    0.000    0.000    0.000    0.000 queue.py:97(empty)
      132    0.000    0.000    0.000    0.000 queues.py:131(full)
       14    0.000    0.000    0.000    0.000 queues.py:137(put_nowait)
        2    0.000    0.000    0.000    0.000 queues.py:140(close)
        2    0.000    0.000  678.106  339.053 queues.py:147(join_thread)
      2/1    0.000    0.000    0.000    0.000 queues.py:175(_start_thread)
        2    0.000    0.000   39.232   19.616 queues.py:214(_finalize_join)
        2    0.000    0.000    0.000    0.000 queues.py:224(_finalize_close)
      2/1    0.000    0.000    0.000    0.000 queues.py:231(_feed)
      2/1    0.000    0.000    0.000    0.000 queues.py:361(__init__)
      2/1    0.000    0.000    0.000    0.000 queues.py:37(__init__)
        2    0.000    0.000    0.000    0.000 queues.py:370(close)
       14    0.000    0.000    0.000    0.000 queues.py:377(__getstate__)
       14    0.000    0.000    0.000    0.000 queues.py:57(__getstate__)
        2    0.000    0.000    0.000    0.000 queues.py:71(_reset)
    64/61    0.000    0.000    0.001    0.000 queues.py:86(put)
       12    0.000    0.000    0.000    0.000 random.py:454(choices)
    56/34    0.000    0.000    0.002    0.000 reduction.py:106(__init__)
       92    0.001    0.000    0.002    0.000 reduction.py:38(__init__)
       64    0.000    0.000    0.004    0.000 reduction.py:48(dumps)
    28/18    0.000    0.000    0.005    0.000 reduction.py:58(dump)
       42    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
       14    0.000    0.000    0.000    0.000 spawn.py:138(_check_not_importing_main)
       14    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
       28    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
       14    0.000    0.000    0.000    0.000 spawn.py:83(get_command_line)
       42    0.000    0.000    0.000    0.000 spawn.py:92(<genexpr>)
